Epoch,Time
1,1073.9778254032135
2,1033.8981182575226
3,1034.1491723060608
4,1034.2758700847626
5,1034.2899494171143
6,1032.6197729110718
7,1032.6597394943237
8,1032.5659415721893
9,1032.696096420288
10,1032.3609819412231
11,1032.3318545818329
12,1033.9166777133942
13,1032.3092708587646
14,1032.395245552063
15,1032.4486029148102
16,1032.3074443340302
17,1032.4178383350372
18,1032.5423967838287
19,1032.1322071552277
20,1031.8622539043427
21,1031.772182226181
22,1031.7821307182312
